Bars, Internal forces, Load comb.: ULS
ID	x	N	Ty'	Tz'	Mt	My'	Mz'	Comb.
[-]	[m]	[kN]	[kN]	[kN]	[kNm]	[kNm]	[kNm]	[-]
B.36.1	3.750	-7.799	0.000	-12.095	-0.000	36.310	0.000	1 ULS
B.36.1	4.125	-7.799	0.000	-18.142	-0.000	30.640	0.000	1 ULS
B.36.1	4.500	-7.799	0.000	-24.190	-0.000	22.703	0.000	1 ULS
B.36.1	4.500	-7.799	0.000	-24.190	-0.000	22.703	0.000	1 ULS
B.36.1	4.875	-7.799	0.000	-30.237	-0.000	12.498	0.000	1 ULS
B.36.1	5.250	-7.799	0.000	-36.285	-0.000	0.025	0.000	1 ULS
B.36.1	5.625	-7.799	0.000	-42.332	-0.000	-14.716	0.000	1 ULS
B.36.1	6.000	-7.799	0.000	-48.380	-0.000	-31.724	0.000	1 ULS
B.37.1	0.000	-105.284	8.091	7.799	-0.000	-15.068	20.221	1 ULS
B.37.1	0.375	-104.861	8.091	7.799	-0.000	-12.144	17.187	1 ULS
B.37.1	0.750	-104.439	8.091	7.799	-0.000	-9.219	14.153	1 ULS
B.37.1	1.125	-104.017	8.091	7.799	-0.000	-6.295	11.119	1 ULS
B.37.1	1.500	-103.594	8.091	7.799	-0.000	-3.370	8.085	1 ULS
B.37.1	1.500	-103.594	8.091	7.799	-0.000	-3.370	8.085	1 ULS
B.37.1	1.875	-103.172	8.091	7.799	-0.000	-0.446	5.051	1 ULS
B.37.1	2.250	-102.749	8.091	7.799	-0.000	2.479	2.017	1 ULS
B.37.1	2.625	-102.327	8.091	7.799	-0.000	5.403	-1.017	1 ULS
B.37.1	3.000	-101.904	8.091	7.799	-0.000	8.328	-4.051	1 ULS
B.37.1	3.000	-101.904	8.091	7.799	-0.000	8.328	-4.051	1 ULS
B.37.1	3.375	-101.482	8.091	7.799	-0.000	11.252	-7.085	1 ULS
B.37.1	3.750	-101.059	8.091	7.799	-0.000	14.177	-10.119	1 ULS
B.37.1	4.125	-100.637	8.091	7.799	-0.000	17.101	-13.153	1 ULS
B.37.1	4.500	-100.215	8.091	7.799	-0.000	20.026	-16.187	1 ULS
B.37.1	4.500	-100.215	8.091	7.799	-0.000	20.026	-16.187	1 ULS
B.37.1	4.875	-99.792	8.091	7.799	-0.000	22.950	-19.221	1 ULS
B.37.1	5.250	-99.370	8.091	7.799	-0.000	25.875	-22.256	1 ULS
B.37.1	5.625	-98.947	8.091	7.799	-0.000	28.799	-25.290	1 ULS
B.37.1	6.000	-98.525	8.091	7.799	-0.000	31.724	-28.324	1 ULS
B.38.1	0.000	-105.284	8.091	-7.799	-0.000	15.068	20.221	1 ULS
B.38.1	0.375	-104.861	8.091	-7.799	-0.000	12.144	17.187	1 ULS
B.38.1	0.750	-104.439	8.091	-7.799	-0.000	9.219	14.153	1 ULS
B.38.1	1.125	-104.017	8.091	-7.799	-0.000	6.295	11.119	1 ULS
B.38.1	1.500	-103.594	8.091	-7.799	-0.000	3.370	8.085	1 ULS
B.38.1	1.500	-103.594	8.091	-7.799	-0.000	3.370	8.085	1 ULS
B.38.1	1.875	-103.172	8.091	-7.799	-0.000	0.446	5.051	1 ULS
B.38.1	2.250	-102.749	8.091	-7.799	-0.000	-2.479	2.017	1 ULS
B.38.1	2.625	-102.327	8.091	-7.799	-0.000	-5.403	-1.017	1 ULS
B.38.1	3.000	-101.904	8.091	-7.799	-0.000	-8.328	-4.051	1 ULS
B.38.1	3.000	-101.904	8.091	-7.799	-0.000	-8.328	-4.051	1 ULS
B.38.1	3.375	-101.482	8.091	-7.799	-0.000	-11.252	-7.085	1 ULS
B.38.1	3.750	-101.059	8.091	-7.799	-0.000	-14.177	-10.119	1 ULS
B.38.1	4.125	-100.637	8.091	-7.799	-0.000	-17.101	-13.153	1 ULS
B.38.1	4.500	-100.215	8.091	-7.799	-0.000	-20.026	-16.187	1 ULS
B.38.1	4.500	-100.215	8.091	-7.799	-0.000	-20.026	-16.187	1 ULS
B.38.1	4.875	-99.792	8.091	-7.799	-0.000	-22.950	-19.221	1 ULS
B.38.1	5.250	-99.370	8.091	-7.799	-0.000	-25.875	-22.256	1 ULS
B.38.1	5.625	-98.947	8.091	-7.799	-0.000	-28.799	-25.290	1 ULS
B.38.1	6.000	-98.525	8.091	-7.799	-0.000	-31.724	-28.324	1 ULS
B.39.1	0.000	-101.753	6.909	7.799	-0.000	-15.068	14.185	1 ULS
B.39.1	0.375	-101.330	6.909	7.799	-0.000	-12.144	11.594	1 ULS
B.39.1	0.750	-100.908	6.909	7.799	-0.000	-9.219	9.003	1 ULS
B.39.1	1.125	-100.485	6.909	7.799	-0.000	-6.295	6.412	1 ULS
B.39.1	1.500	-100.063	6.909	7.799	-0.000	-3.370	3.821	1 ULS
B.39.1	1.500	-100.063	6.909	7.799	-0.000	-3.370	3.821	1 ULS
B.39.1	1.875	-99.640	6.909	7.799	-0.000	-0.446	1.230	1 ULS
B.39.1	2.250	-99.218	6.909	7.799	-0.000	2.479	-1.361	1 ULS
B.39.1	2.625	-98.796	6.909	7.799	-0.000	5.403	-3.952	1 ULS
B.39.1	3.000	-98.373	6.909	7.799	-0.000	8.328	-6.542	1 ULS
B.39.1	3.000	-98.373	-8.091	7.799	-0.000	8.328	-6.542	1 ULS
B.39.1	3.375	-97.951	-8.091	7.799	-0.000	11.252	-3.508	1 ULS
B.39.1	3.750	-97.528	-8.091	7.799	-0.000	14.177	-0.474	1 ULS
B.39.1	4.125	-97.106	-8.091	7.799	-0.000	17.101	2.560	1 ULS
B.39.1	4.500	-96.683	-8.091	7.799	-0.000	20.026	5.594	1 ULS
B.39.1	4.500	-96.683	-8.091	7.799	-0.000	20.026	5.594	1 ULS
B.39.1	4.875	-96.261	-8.091	7.799	-0.000	22.950	8.628	1 ULS
B.39.1	5.250	-95.838	-8.091	7.799	-0.000	25.875	11.662	1 ULS
B.39.1	5.625	-95.416	-8.091	7.799	-0.000	28.799	14.696	1 ULS
B.39.1	6.000	-94.994	-8.091	7.799	-0.000	31.724	17.730	1 ULS
B.40.1	0.000	-101.753	6.909	-7.799	-0.000	15.068	14.185	1 ULS
B.40.1	0.375	-101.330	6.909	-7.799	-0.000	12.144	11.594	1 ULS
B.40.1	0.750	-100.908	6.909	-7.799	-0.000	9.219	9.003	1 ULS
B.40.1	1.125	-100.485	6.909	-7.799	-0.000	6.295	6.412	1 ULS
B.40.1	1.500	-100.063	6.909	-7.799	-0.000	3.370	3.821	1 ULS
B.40.1	1.500	-100.063	6.909	-7.799	-0.000	3.370	3.821	1 ULS
B.40.1	1.875	-99.640	6.909	-7.799	-0.000	0.446	1.230	1 ULS
B.40.1	2.250	-99.218	6.909	-7.799	-0.000	-2.479	-1.361	1 ULS
B.40.1	2.625	-98.796	6.909	-7.799	-0.000	-5.403	-3.952	1 ULS
B.40.1	3.000	-98.373	6.909	-7.799	-0.000	-8.328	-6.542	1 ULS
B.40.1	3.000	-98.373	-8.091	-7.799	-0.000	-8.328	-6.542	1 ULS
B.40.1	3.375	-97.951	-8.091	-7.799	-0.000	-11.252	-3.508	1 ULS
B.40.1	3.750	-97.528	-8.091	-7.799	-0.000	-14.177	-0.474	1 ULS
B.40.1	4.125	-97.106	-8.091	-7.799	-0.000	-17.101	2.560	1 ULS
B.40.1	4.500	-96.683	-8.091	-7.799	-0.000	-20.026	5.594	1 ULS
B.40.1	4.500	-96.683	-8.091	-7.799	-0.000	-20.026	5.594	1 ULS
B.40.1	4.875	-96.261	-8.091	-7.799	-0.000	-22.950	8.628	1 ULS
B.40.1	5.250	-95.838	-8.091	-7.799	-0.000	-25.875	11.662	1 ULS
B.40.1	5.625	-95.416	-8.091	-7.799	-0.000	-28.799	14.696	1 ULS
B.40.1	6.000	-94.994	-8.091	-7.799	-0.000	-31.724	17.730	1 ULS

