Bars, Displacements, Ultimate - Load case: DeadLoad
Bar	x	ex'	ey'	ez'	φ x'	φ y'	φ z'	Case
[-]	[m]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
B.3.1	3.075	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.3.1	3.354	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.3.1	3.354	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.3.1	3.634	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.3.1	3.913	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.3.1	4.193	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.3.1	4.472	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.4.1	0.000	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	0.280	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	0.559	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	0.839	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	1.118	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	1.118	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	1.398	0.000	0.000	-0.000	0.000	0.000	0.000	DeadLoad
B.4.1	1.677	0.000	0.000	-0.000	0.000	0.000	0.000	DeadLoad
B.4.1	1.957	0.000	0.000	-0.000	0.000	-0.000	0.000	DeadLoad
B.4.1	2.236	0.000	0.000	-0.000	0.000	-0.000	0.000	DeadLoad
B.4.1	2.236	0.000	0.000	-0.000	0.000	-0.000	0.000	DeadLoad
B.4.1	2.516	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.4.1	2.795	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.4.1	3.075	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.4.1	3.354	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.4.1	3.354	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.4.1	3.634	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.4.1	3.913	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.4.1	4.193	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
