Bars, Displacements, Load comb.: ULS
Bar	x	ex'	ey'	ez'	φ x'	φ y'	φ z'	Comb.
[-]	[m]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
B.6.1	2.795	-0.009	0.000	-0.005	0.000	0.021	0.000	1 ULS
B.6.1	3.075	-0.010	0.000	-0.005	0.000	0.018	0.000	1 ULS
B.6.1	3.354	-0.010	0.000	-0.005	0.000	0.016	0.000	1 ULS
B.6.1	3.354	-0.010	0.000	-0.005	0.000	0.016	0.000	1 ULS
B.6.1	3.634	-0.010	0.000	-0.005	0.000	0.013	0.000	1 ULS
B.6.1	3.913	-0.010	0.000	-0.005	0.000	0.011	0.000	1 ULS
B.6.1	4.193	-0.011	0.000	-0.005	0.000	0.010	0.000	1 ULS
B.6.1	4.472	-0.011	0.000	-0.005	0.000	0.010	0.000	1 ULS
B.7.1	0.000	0.011	0.000	-0.005	0.000	-0.010	0.000	1 ULS
B.7.1	0.280	0.011	0.000	-0.005	0.000	-0.010	0.000	1 ULS
B.7.1	0.559	0.010	0.000	-0.005	0.000	-0.011	0.000	1 ULS
B.7.1	0.839	0.010	0.000	-0.005	0.000	-0.013	0.000	1 ULS
B.7.1	1.118	0.010	0.000	-0.005	0.000	-0.016	0.000	1 ULS
B.7.1	1.118	0.010	0.000	-0.005	0.000	-0.016	0.000	1 ULS
B.7.1	1.398	0.010	0.000	-0.005	0.000	-0.018	0.000	1 ULS
B.7.1	1.677	0.009	0.000	-0.005	0.000	-0.021	0.000	1 ULS
B.7.1	1.957	0.009	0.000	-0.005	0.000	-0.025	0.000	1 ULS
B.7.1	2.236	0.009	0.000	-0.005	0.000	-0.028	0.000	1 ULS
B.7.1	2.236	0.009	0.000	-0.005	0.000	-0.028	0.000	1 ULS
B.7.1	2.516	0.009	0.000	-0.005	0.000	-0.032	0.000	1 ULS
B.7.1	2.795	0.008	0.000	-0.004	0.000	-0.035	0.000	1 ULS
B.7.1	3.075	0.008	0.000	-0.004	0.000	-0.038	0.000	1 ULS
B.7.1	3.354	0.008	0.000	-0.004	0.000	-0.041	0.000	1 ULS
B.7.1	3.354	0.008	0.000	-0.004	0.000	-0.041	0.000	1 ULS
B.7.1	3.634	0.008	0.000	-0.004	0.000	-0.043	0.000	1 ULS
B.7.1	3.913	0.008	0.000	-0.004	0.000	-0.045	0.000	1 ULS
B.7.1	4.193	0.007	0.000	-0.003	0.000	-0.046	0.000	1 ULS
B.7.1	4.472	0.007	0.000	-0.003	0.000	-0.047	0.000	1 ULS
B.8.1	0.000	-0.007	0.000	-0.004	0.000	-0.028	0.000	1 ULS
B.8.1	0.280	-0.007	0.000	-0.004	0.000	-0.028	0.000	1 ULS
B.8.1	0.559	-0.006	0.000	-0.003	0.000	-0.029	0.000	1 ULS
B.8.1	0.839	-0.006	0.000	-0.003	0.000	-0.031	0.000	1 ULS
B.8.1	1.118	-0.006	0.000	-0.003	0.000	-0.033	0.000	1 ULS
B.8.1	1.118	-0.006	0.000	-0.003	0.000	-0.033	0.000	1 ULS
B.8.1	1.398	-0.006	0.000	-0.003	0.000	-0.036	0.000	1 ULS
B.8.1	1.677	-0.005	0.000	-0.003	0.000	-0.039	0.000	1 ULS
B.8.1	1.957	-0.005	0.000	-0.003	0.000	-0.043	0.000	1 ULS
B.8.1	2.236	-0.005	0.000	-0.002	0.000	-0.046	0.000	1 ULS
B.8.1	2.236	-0.005	0.000	-0.002	0.000	-0.046	0.000	1 ULS
B.8.1	2.516	-0.005	0.000	-0.002	0.000	-0.050	0.000	1 ULS
B.8.1	2.795	-0.004	0.000	-0.002	0.000	-0.053	0.000	1 ULS
B.8.1	3.075	-0.004	0.000	-0.002	0.000	-0.056	0.000	1 ULS
B.8.1	3.354	-0.004	0.000	-0.001	0.000	-0.059	0.000	1 ULS
B.8.1	3.354	-0.004	0.000	-0.001	0.000	-0.059	0.000	1 ULS
B.8.1	3.634	-0.004	0.000	-0.001	0.000	-0.061	0.000	1 ULS
B.8.1	3.913	-0.004	0.000	-0.001	0.000	-0.063	0.000	1 ULS
B.8.1	4.193	-0.003	0.000	-0.000	0.000	-0.064	0.000	1 ULS
B.8.1	4.472	-0.003	0.000	-0.000	0.000	-0.065	0.000	1 ULS

